county,month,traffic_volume,congestion_delay_minutes,avg_speed_kph
Carlow,2024-01-01,14000,4.7,60.0
Carlow,2024-02-01,14000,4.7,60.0
Carlow,2024-03-01,14000,4.7,60.0
Carlow,2024-04-01,14000,4.7,60.0
Carlow,2024-05-01,14000,4.7,60.0
Carlow,2024-06-01,14000,4.7,60.0
Carlow,2024-07-01,14000,4.7,60.0
Carlow,2024-08-01,14000,4.7,60.0
Carlow,2024-09-01,14000,4.7,60.0
Carlow,2024-10-01,14000,4.7,60.0
Carlow,2024-11-01,14000,4.7,60.0
Carlow,2024-12-01,14000,4.7,60.0
Cavan,2024-01-01,12000,4.0,60.0
Cavan,2024-02-01,12000,4.0,60.0
Cavan,2024-03-01,12000,4.0,60.0
Cavan,2024-04-01,12000,4.0,60.0
Cavan,2024-05-01,12000,4.0,60.0
Cavan,2024-06-01,12000,4.0,60.0
Cavan,2024-07-01,12000,4.0,60.0
Cavan,2024-08-01,12000,4.0,60.0
Cavan,2024-09-01,12000,4.0,60.0
Cavan,2024-10-01,12000,4.0,60.0
Cavan,2024-11-01,12000,4.0,60.0
Cavan,2024-12-01,12000,4.0,60.0
Clare,2024-01-01,20000,6.7,60.0
Clare,2024-02-01,20000,6.7,60.0
Clare,2024-03-01,20000,6.7,60.0
Clare,2024-04-01,20000,6.7,60.0
Clare,2024-05-01,20000,6.7,60.0
Clare,2024-06-01,20000,6.7,60.0
Clare,2024-07-01,20000,6.7,60.0
Clare,2024-08-01,20000,6.7,60.0
Clare,2024-09-01,20000,6.7,60.0
Clare,2024-10-01,20000,6.7,60.0
Clare,2024-11-01,20000,6.7,60.0
Clare,2024-12-01,20000,6.7,60.0
Cork,2024-01-01,45000,15.0,60.0
Cork,2024-02-01,45000,15.0,60.0
Cork,2024-03-01,45000,15.0,60.0
Cork,2024-04-01,45000,15.0,60.0
Cork,2024-05-01,45000,15.0,60.0
Cork,2024-06-01,45000,15.0,60.0
Cork,2024-07-01,45000,15.0,60.0
Cork,2024-08-01,45000,15.0,60.0
Cork,2024-09-01,45000,15.0,60.0
Cork,2024-10-01,45000,15.0,60.0
Cork,2024-11-01,45000,15.0,60.0
Cork,2024-12-01,45000,15.0,60.0
Donegal,2024-01-01,11000,3.7,60.0
Donegal,2024-02-01,11000,3.7,60.0
Donegal,2024-03-01,11000,3.7,60.0
Donegal,2024-04-01,11000,3.7,60.0
Donegal,2024-05-01,11000,3.7,60.0
Donegal,2024-06-01,11000,3.7,60.0
Donegal,2024-07-01,11000,3.7,60.0
Donegal,2024-08-01,11000,3.7,60.0
Donegal,2024-09-01,11000,3.7,60.0
Donegal,2024-10-01,11000,3.7,60.0
Donegal,2024-11-01,11000,3.7,60.0
Donegal,2024-12-01,11000,3.7,60.0
Dublin,2024-01-01,85000,28.3,60.0
Dublin,2024-02-01,85000,28.3,60.0
Dublin,2024-03-01,85000,28.3,60.0
Dublin,2024-04-01,85000,28.3,60.0
Dublin,2024-05-01,85000,28.3,60.0
Dublin,2024-06-01,85000,28.3,60.0
Dublin,2024-07-01,85000,28.3,60.0
Dublin,2024-08-01,85000,28.3,60.0
Dublin,2024-09-01,85000,28.3,60.0
Dublin,2024-10-01,85000,28.3,60.0
Dublin,2024-11-01,85000,28.3,60.0
Dublin,2024-12-01,85000,28.3,60.0
Galway,2024-01-01,30000,10.0,60.0
Galway,2024-02-01,30000,10.0,60.0
Galway,2024-03-01,30000,10.0,60.0
Galway,2024-04-01,30000,10.0,60.0
Galway,2024-05-01,30000,10.0,60.0
Galway,2024-06-01,30000,10.0,60.0
Galway,2024-07-01,30000,10.0,60.0
Galway,2024-08-01,30000,10.0,60.0
Galway,2024-09-01,30000,10.0,60.0
Galway,2024-10-01,30000,10.0,60.0
Galway,2024-11-01,30000,10.0,60.0
Galway,2024-12-01,30000,10.0,60.0
Kerry,2024-01-01,18000,6.0,60.0
Kerry,2024-02-01,18000,6.0,60.0
Kerry,2024-03-01,18000,6.0,60.0
Kerry,2024-04-01,18000,6.0,60.0
Kerry,2024-05-01,18000,6.0,60.0
Kerry,2024-06-01,18000,6.0,60.0
Kerry,2024-07-01,18000,6.0,60.0
Kerry,2024-08-01,18000,6.0,60.0
Kerry,2024-09-01,18000,6.0,60.0
Kerry,2024-10-01,18000,6.0,60.0
Kerry,2024-11-01,18000,6.0,60.0
Kerry,2024-12-01,18000,6.0,60.0
Kildare,2024-01-01,38000,12.7,60.0
Kildare,2024-02-01,38000,12.7,60.0
Kildare,2024-03-01,38000,12.7,60.0
Kildare,2024-04-01,38000,12.7,60.0
Kildare,2024-05-01,38000,12.7,60.0
Kildare,2024-06-01,38000,12.7,60.0
Kildare,2024-07-01,38000,12.7,60.0
Kildare,2024-08-01,38000,12.7,60.0
Kildare,2024-09-01,38000,12.7,60.0
Kildare,2024-10-01,38000,12.7,60.0
Kildare,2024-11-01,38000,12.7,60.0
Kildare,2024-12-01,38000,12.7,60.0
Kilkenny,2024-01-01,17000,5.7,60.0
Kilkenny,2024-02-01,17000,5.7,60.0
Kilkenny,2024-03-01,17000,5.7,60.0
Kilkenny,2024-04-01,17000,5.7,60.0
Kilkenny,2024-05-01,17000,5.7,60.0
Kilkenny,2024-06-01,17000,5.7,60.0
Kilkenny,2024-07-01,17000,5.7,60.0
Kilkenny,2024-08-01,17000,5.7,60.0
Kilkenny,2024-09-01,17000,5.7,60.0
Kilkenny,2024-10-01,17000,5.7,60.0
Kilkenny,2024-11-01,17000,5.7,60.0
Kilkenny,2024-12-01,17000,5.7,60.0
Laois,2024-01-01,15000,5.0,60.0
Laois,2024-02-01,15000,5.0,60.0
Laois,2024-03-01,15000,5.0,60.0
Laois,2024-04-01,15000,5.0,60.0
Laois,2024-05-01,15000,5.0,60.0
Laois,2024-06-01,15000,5.0,60.0
Laois,2024-07-01,15000,5.0,60.0
Laois,2024-08-01,15000,5.0,60.0
Laois,2024-09-01,15000,5.0,60.0
Laois,2024-10-01,15000,5.0,60.0
Laois,2024-11-01,15000,5.0,60.0
Laois,2024-12-01,15000,5.0,60.0
Leitrim,2024-01-01,8000,2.7,60.0
Leitrim,2024-02-01,8000,2.7,60.0
Leitrim,2024-03-01,8000,2.7,60.0
Leitrim,2024-04-01,8000,2.7,60.0
Leitrim,2024-05-01,8000,2.7,60.0
Leitrim,2024-06-01,8000,2.7,60.0
Leitrim,2024-07-01,8000,2.7,60.0
Leitrim,2024-08-01,8000,2.7,60.0
Leitrim,2024-09-01,8000,2.7,60.0
Leitrim,2024-10-01,8000,2.7,60.0
Leitrim,2024-11-01,8000,2.7,60.0
Leitrim,2024-12-01,8000,2.7,60.0
Limerick,2024-01-01,28000,9.3,60.0
Limerick,2024-02-01,28000,9.3,60.0
Limerick,2024-03-01,28000,9.3,60.0
Limerick,2024-04-01,28000,9.3,60.0
Limerick,2024-05-01,28000,9.3,60.0
Limerick,2024-06-01,28000,9.3,60.0
Limerick,2024-07-01,28000,9.3,60.0
Limerick,2024-08-01,28000,9.3,60.0
Limerick,2024-09-01,28000,9.3,60.0
Limerick,2024-10-01,28000,9.3,60.0
Limerick,2024-11-01,28000,9.3,60.0
Limerick,2024-12-01,28000,9.3,60.0
Longford,2024-01-01,10000,3.3,60.0
Longford,2024-02-01,10000,3.3,60.0
Longford,2024-03-01,10000,3.3,60.0
Longford,2024-04-01,10000,3.3,60.0
Longford,2024-05-01,10000,3.3,60.0
Longford,2024-06-01,10000,3.3,60.0
Longford,2024-07-01,10000,3.3,60.0
Longford,2024-08-01,10000,3.3,60.0
Longford,2024-09-01,10000,3.3,60.0
Longford,2024-10-01,10000,3.3,60.0
Longford,2024-11-01,10000,3.3,60.0
Longford,2024-12-01,10000,3.3,60.0
Louth,2024-01-01,25000,8.3,60.0
Louth,2024-02-01,25000,8.3,60.0
Louth,2024-03-01,25000,8.3,60.0
Louth,2024-04-01,25000,8.3,60.0
Louth,2024-05-01,25000,8.3,60.0
Louth,2024-06-01,25000,8.3,60.0
Louth,2024-07-01,25000,8.3,60.0
Louth,2024-08-01,25000,8.3,60.0
Louth,2024-09-01,25000,8.3,60.0
Louth,2024-10-01,25000,8.3,60.0
Louth,2024-11-01,25000,8.3,60.0
Louth,2024-12-01,25000,8.3,60.0
Mayo,2024-01-01,12000,4.0,60.0
Mayo,2024-02-01,12000,4.0,60.0
Mayo,2024-03-01,12000,4.0,60.0
Mayo,2024-04-01,12000,4.0,60.0
Mayo,2024-05-01,12000,4.0,60.0
Mayo,2024-06-01,12000,4.0,60.0
Mayo,2024-07-01,12000,4.0,60.0
Mayo,2024-08-01,12000,4.0,60.0
Mayo,2024-09-01,12000,4.0,60.0
Mayo,2024-10-01,12000,4.0,60.0
Mayo,2024-11-01,12000,4.0,60.0
Mayo,2024-12-01,12000,4.0,60.0
Meath,2024-01-01,36000,12.0,60.0
Meath,2024-02-01,36000,12.0,60.0
Meath,2024-03-01,36000,12.0,60.0
Meath,2024-04-01,36000,12.0,60.0
Meath,2024-05-01,36000,12.0,60.0
Meath,2024-06-01,36000,12.0,60.0
Meath,2024-07-01,36000,12.0,60.0
Meath,2024-08-01,36000,12.0,60.0
Meath,2024-09-01,36000,12.0,60.0
Meath,2024-10-01,36000,12.0,60.0
Meath,2024-11-01,36000,12.0,60.0
Meath,2024-12-01,36000,12.0,60.0
Monaghan,2024-01-01,11000,3.7,60.0
Monaghan,2024-02-01,11000,3.7,60.0
Monaghan,2024-03-01,11000,3.7,60.0
Monaghan,2024-04-01,11000,3.7,60.0
Monaghan,2024-05-01,11000,3.7,60.0
Monaghan,2024-06-01,11000,3.7,60.0
Monaghan,2024-07-01,11000,3.7,60.0
Monaghan,2024-08-01,11000,3.7,60.0
Monaghan,2024-09-01,11000,3.7,60.0
Monaghan,2024-10-01,11000,3.7,60.0
Monaghan,2024-11-01,11000,3.7,60.0
Monaghan,2024-12-01,11000,3.7,60.0
Offaly,2024-01-01,14000,4.7,60.0
Offaly,2024-02-01,14000,4.7,60.0
Offaly,2024-03-01,14000,4.7,60.0
Offaly,2024-04-01,14000,4.7,60.0
Offaly,2024-05-01,14000,4.7,60.0
Offaly,2024-06-01,14000,4.7,60.0
Offaly,2024-07-01,14000,4.7,60.0
Offaly,2024-08-01,14000,4.7,60.0
Offaly,2024-09-01,14000,4.7,60.0
Offaly,2024-10-01,14000,4.7,60.0
Offaly,2024-11-01,14000,4.7,60.0
Offaly,2024-12-01,14000,4.7,60.0
Roscommon,2024-01-01,11000,3.7,60.0
Roscommon,2024-02-01,11000,3.7,60.0
Roscommon,2024-03-01,11000,3.7,60.0
Roscommon,2024-04-01,11000,3.7,60.0
Roscommon,2024-05-01,11000,3.7,60.0
Roscommon,2024-06-01,11000,3.7,60.0
Roscommon,2024-07-01,11000,3.7,60.0
Roscommon,2024-08-01,11000,3.7,60.0
Roscommon,2024-09-01,11000,3.7,60.0
Roscommon,2024-10-01,11000,3.7,60.0
Roscommon,2024-11-01,11000,3.7,60.0
Roscommon,2024-12-01,11000,3.7,60.0
Sligo,2024-01-01,13000,4.3,60.0
Sligo,2024-02-01,13000,4.3,60.0
Sligo,2024-03-01,13000,4.3,60.0
Sligo,2024-04-01,13000,4.3,60.0
Sligo,2024-05-01,13000,4.3,60.0
Sligo,2024-06-01,13000,4.3,60.0
Sligo,2024-07-01,13000,4.3,60.0
Sligo,2024-08-01,13000,4.3,60.0
Sligo,2024-09-01,13000,4.3,60.0
Sligo,2024-10-01,13000,4.3,60.0
Sligo,2024-11-01,13000,4.3,60.0
Sligo,2024-12-01,13000,4.3,60.0
Tipperary,2024-01-01,19000,6.3,60.0
Tipperary,2024-02-01,19000,6.3,60.0
Tipperary,2024-03-01,19000,6.3,60.0
Tipperary,2024-04-01,19000,6.3,60.0
Tipperary,2024-05-01,19000,6.3,60.0
Tipperary,2024-06-01,19000,6.3,60.0
Tipperary,2024-07-01,19000,6.3,60.0
Tipperary,2024-08-01,19000,6.3,60.0
Tipperary,2024-09-01,19000,6.3,60.0
Tipperary,2024-10-01,19000,6.3,60.0
Tipperary,2024-11-01,19000,6.3,60.0
Tipperary,2024-12-01,19000,6.3,60.0
Waterford,2024-01-01,22000,7.3,60.0
Waterford,2024-02-01,22000,7.3,60.0
Waterford,2024-03-01,22000,7.3,60.0
Waterford,2024-04-01,22000,7.3,60.0
Waterford,2024-05-01,22000,7.3,60.0
Waterford,2024-06-01,22000,7.3,60.0
Waterford,2024-07-01,22000,7.3,60.0
Waterford,2024-08-01,22000,7.3,60.0
Waterford,2024-09-01,22000,7.3,60.0
Waterford,2024-10-01,22000,7.3,60.0
Waterford,2024-11-01,22000,7.3,60.0
Waterford,2024-12-01,22000,7.3,60.0
Westmeath,2024-01-01,16000,5.3,60.0
Westmeath,2024-02-01,16000,5.3,60.0
Westmeath,2024-03-01,16000,5.3,60.0
Westmeath,2024-04-01,16000,5.3,60.0
Westmeath,2024-05-01,16000,5.3,60.0
Westmeath,2024-06-01,16000,5.3,60.0
Westmeath,2024-07-01,16000,5.3,60.0
Westmeath,2024-08-01,16000,5.3,60.0
Westmeath,2024-09-01,16000,5.3,60.0
Westmeath,2024-10-01,16000,5.3,60.0
Westmeath,2024-11-01,16000,5.3,60.0
Westmeath,2024-12-01,16000,5.3,60.0
Wexford,2024-01-01,18000,6.0,60.0
Wexford,2024-02-01,18000,6.0,60.0
Wexford,2024-03-01,18000,6.0,60.0
Wexford,2024-04-01,18000,6.0,60.0
Wexford,2024-05-01,18000,6.0,60.0
Wexford,2024-06-01,18000,6.0,60.0
Wexford,2024-07-01,18000,6.0,60.0
Wexford,2024-08-01,18000,6.0,60.0
Wexford,2024-09-01,18000,6.0,60.0
Wexford,2024-10-01,18000,6.0,60.0
Wexford,2024-11-01,18000,6.0,60.0
Wexford,2024-12-01,18000,6.0,60.0
Wicklow,2024-01-01,35000,11.7,60.0
Wicklow,2024-02-01,35000,11.7,60.0
Wicklow,2024-03-01,35000,11.7,60.0
Wicklow,2024-04-01,35000,11.7,60.0
Wicklow,2024-05-01,35000,11.7,60.0
Wicklow,2024-06-01,35000,11.7,60.0
Wicklow,2024-07-01,35000,11.7,60.0
Wicklow,2024-08-01,35000,11.7,60.0
Wicklow,2024-09-01,35000,11.7,60.0
Wicklow,2024-10-01,35000,11.7,60.0
Wicklow,2024-11-01,35000,11.7,60.0
Wicklow,2024-12-01,35000,11.7,60.0
